DepartureTime,ArraivalTime,Price,Operator,NumberOfStops,Duration,Layovers,Source
2023-12-20 05:20:00,2023-12-20 14:25:00,212.0,['airBaltic'],1,32700,"['4h 45m layover, Riga Intl']",kayak.com
2023-12-20 12:25:00,2023-12-20 16:20:00,279.0,['Turkish Airlines'],0,14100,[],kayak.com
2023-12-20 05:20:00,2023-12-20 14:25:00,208.0,['airBaltic'],1,32700,"['4h 45m layover, Riga Intl']",kayak.com
2023-12-20 12:25:00,2023-12-20 16:20:00,304.0,['Finnair'],0,14100,[],kayak.com
2023-12-20 06:50:00,2023-12-20 10:40:00,309.0,['Turkish Airlines'],0,13800,[],kayak.com
2023-12-20 06:50:00,2023-12-20 10:40:00,360.0,['Finnair'],0,13800,[],kayak.com
2023-12-20 07:45:00,2023-12-20 14:25:00,240.0,"['Finnair', 'airBaltic']",1,24000,"['2h 10m layover, Riga Intl']",kayak.com
2023-12-20 07:30:00,2023-12-20 12:55:00,290.0,"['Finnair', 'LOT']",1,19500,"['1h 05m layover, Warsaw Frederic Chopin']",kayak.com
2023-12-20 02:00:00,2023-12-20 09:35:00,261.0,['Lufthansa'],1,27300,"['1h 40m layover, Frankfurt am Main']",kayak.com
2023-12-20 05:50:00,2023-12-20 11:35:00,361.0,"['Finnair', 'LOT']",1,20700,"['1h 20m layover, Warsaw Frederic Chopin']",kayak.com
2023-12-20 04:40:00,2023-12-20 15:20:00,211.0,"['Norwegian', 'Air Serbia']",2,38400,"['3h 55m layover, Stockholm Arlanda', '1h 35m layover, Belgrade Nikola Tesla']",kayak.com
2023-12-20 11:20:00,2023-12-20 19:20:00,266.0,"['Finnair', 'Pegasus Airlines']",1,28800,"['3h 10m layover, Berlin Brandenburg']",kayak.com
2023-12-20 07:05:00,2023-12-20 15:50:00,252.0,"['Finnair', 'Pegasus Airlines']",1,31500,"['4h 00m layover, Berlin Brandenburg']",kayak.com
2023-12-20 07:30:00,2023-12-20 16:30:00,290.0,"['Finnair', 'LOT']",1,32400,"['4h 35m layover, Warsaw Frederic Chopin']",kayak.com
2023-12-20 07:05:00,2023-12-20 15:05:00,279.0,"['Finnair', 'Turkish Airlines']",1,28800,"['3h 10m layover, Berlin Brandenburg']",kayak.com
2023-12-20 08:15:00,2023-12-20 16:25:00,298.0,"['Finnair', 'Pegasus Airlines']",1,29400,"['2h 00m layover, Amsterdam Schiphol']",kayak.com
2023-12-20 07:40:00,2023-12-20 15:05:00,309.0,"['Finnair', 'Turkish Airlines']",1,26700,"['2h 40m layover, Vilnius']",kayak.com
2023-12-20 06:20:00,2023-12-20 13:20:00,355.0,"['Finnair', 'Turkish Airlines']",1,25200,"['2h 00m layover, Václav Havel Prague']",kayak.com
2023-12-20 07:50:00,2023-12-20 15:20:00,341.0,"['Finnair', 'Pegasus Airlines']",1,27000,"['2h 10m layover, Munich Franz Josef Strauss']",kayak.com
2023-12-20 08:35:00,2023-12-20 15:55:00,345.0,"['Finnair', 'Pegasus Airlines']",1,26400,"['2h 30m layover, Stockholm Arlanda']",kayak.com
2023-12-20 07:40:00,2023-12-20 15:55:00,305.0,"['Norwegian', 'Pegasus Airlines']",1,29700,"['3h 30m layover, Stockholm Arlanda']",kayak.com
2023-12-20 07:45:00,2023-12-20 15:05:00,345.0,"['Finnair', 'Turkish Airlines']",1,26400,"['2h 45m layover, Riga Intl']",kayak.com
2023-12-20 05:25:00,2023-12-20 15:20:00,253.0,"['Finnair', 'Air Serbia']",2,35700,"['3h 05m layover, Stockholm Arlanda', '1h 35m layover, Belgrade Nikola Tesla']",kayak.com
